RMS_X,RMS_Y,RMS_Z,Band_Power_Z_Low,Band_Power_Z_Mid,Band_Power_Z_High,label
0.011170004,0.011153363,0.06021991,3.09E-07,7.47E-07,0.000552526,healthy
0.011303129,0.01094842,0.059921538,3.34E-07,6.89E-07,0.000547175,healthy
0.01131177,0.011253132,0.059802609,2.05E-07,7.65E-07,0.000535478,healthy
0.011203502,0.010982406,0.059904494,2.69E-07,8.96E-07,0.000540049,healthy
0.011528674,0.011058037,0.060078874,8.82E-07,2.81E-06,0.000351693,healthy
0.011503192,0.010995605,0.060280297,3.74E-07,8.56E-07,0.000577338,healthy
0.011080463,0.01104817,0.062942289,2.73E-07,8.23E-07,0.000610754,healthy
0.011311287,0.011439839,0.063953843,4.05E-07,5.33E-07,0.000633082,healthy
0.011595192,0.011316042,0.066750549,3.41E-07,8.02E-07,0.000684193,healthy
0.01184953,0.011290214,0.069069088,5.10E-07,1.42E-06,0.000759627,healthy
0.011820849,0.011373656,0.071420246,4.23E-07,1.22E-06,0.000818863,healthy
0.011863741,0.011198979,0.071308656,3.84E-07,9.61E-07,0.000799585,healthy
0.01167031,0.011124202,0.069101386,3.40E-07,7.02E-07,0.000775224,healthy
0.011513226,0.011026399,0.066770022,2.16E-07,8.98E-07,0.000712906,healthy
0.01140915,0.010673051,0.064672867,4.63E-07,1.34E-06,0.000681705,healthy
0.011288742,0.010851745,0.061880173,6.13E-07,2.05E-06,0.000602695,healthy
0.01138628,0.010910064,0.060721147,3.59E-07,6.56E-07,0.000600321,healthy
0.011152361,0.010744613,0.058744884,5.36E-07,7.98E-07,0.000542581,healthy
0.011242507,0.010903391,0.05918083,2.63E-07,6.56E-07,0.000572406,healthy
0.011065418,0.010951354,0.058333781,2.39E-07,6.93E-07,0.000466494,healthy
0.011059613,0.011110199,0.060382749,4.33E-07,6.34E-07,0.000517887,healthy
0.011218952,0.011482442,0.066024111,4.43E-07,8.16E-07,0.00066904,healthy
0.011812655,0.011658742,0.069860078,2.88E-07,1.59E-06,0.000775317,healthy
0.01189907,0.011197442,0.070378391,4.30E-07,1.26E-06,0.000822804,healthy
0.011600104,0.010897479,0.067434695,2.76E-07,1.03E-06,0.000734782,healthy
0.011480819,0.010892266,0.065674994,2.87E-07,6.40E-07,0.000691815,healthy
0.01128862,0.010747909,0.063177047,4.28E-07,6.57E-07,0.000628271,healthy
0.011192084,0.010884281,0.062522728,4.49E-07,1.09E-06,0.000569021,healthy
0.011617966,0.011356579,0.065264469,3.58E-07,1.05E-06,0.000666,healthy
0.01184925,0.011414438,0.066456553,2.79E-07,9.91E-07,0.00072434,healthy
0.01152893,0.01092814,0.066418718,2.73E-07,7.19E-07,0.000709555,healthy
0.011594534,0.011412001,0.06727707,2.98E-07,6.76E-07,0.000718977,healthy
0.011728075,0.011040778,0.066164055,3.29E-07,1.19E-06,0.000703449,healthy
0.011499845,0.011202862,0.06693053,5.38E-07,1.04E-06,0.000710907,healthy
0.01143708,0.010976264,0.065917186,5.64E-07,2.06E-06,0.000686696,healthy
0.011262333,0.010876509,0.064484389,2.30E-07,8.61E-07,0.000656912,healthy
0.011123967,0.011114916,0.063406672,4.10E-07,8.77E-07,0.000644004,healthy
0.011011421,0.010969315,0.062581265,3.45E-07,7.93E-07,0.000621835,healthy
0.011014008,0.010829172,0.06110226,3.70E-07,5.32E-07,0.000594,healthy
0.010804922,0.010847839,0.060472554,3.83E-07,7.40E-07,0.000556607,healthy
0.010968548,0.011097984,0.06091744,4.04E-07,6.78E-07,0.000585807,healthy
0.011128369,0.011049747,0.060649641,3.70E-07,7.88E-07,0.000564521,healthy
0.011348996,0.011209637,0.062052574,2.96E-07,9.23E-07,0.0006014,healthy
0.011577654,0.011234762,0.065563787,2.40E-07,6.76E-07,0.000703405,healthy
0.011850944,0.011101092,0.066614001,3.41E-07,8.39E-07,0.000738731,healthy
0.011676222,0.011055593,0.066210575,1.86E-07,1.34E-06,0.000704146,healthy
0.011758265,0.011125423,0.06488939,2.99E-07,9.18E-07,0.000700207,healthy
0.011687019,0.011164596,0.066310343,2.79E-07,1.11E-06,0.000707751,healthy
0.011731294,0.011351454,0.066900296,3.84E-07,8.74E-07,0.000716808,healthy
0.011739459,0.0110444,0.06686732,3.66E-07,1.76E-06,0.000712351,healthy
0.011656186,0.011028883,0.06762347,1.47E-07,1.32E-06,0.000714492,healthy
0.011779937,0.011159117,0.067858141,2.12E-07,6.87E-07,0.00073183,healthy
0.011663031,0.011285036,0.070123806,2.00E-07,7.71E-07,0.000768142,healthy
0.011998022,0.011541752,0.072458655,3.98E-07,9.28E-07,0.000839915,healthy
0.011810548,0.011400106,0.07169731,2.95E-07,1.11E-06,0.000808286,healthy
0.011684105,0.011335453,0.069596401,1.17E-06,3.07E-06,0.000752602,healthy
0.011607795,0.011233466,0.07018642,3.56E-07,1.24E-06,0.000784278,healthy
0.011933317,0.011299438,0.072877041,2.67E-07,9.18E-07,0.000858603,healthy
0.012010995,0.011377742,0.074541253,3.39E-07,1.27E-06,0.000902567,healthy
0.011764092,0.011240719,0.072797465,2.27E-06,1.56E-06,0.000839751,healthy
0.011799799,0.011146029,0.071149142,6.88E-07,9.42E-07,0.000829697,healthy
0.011975021,0.01120613,0.070261155,2.66E-07,7.69E-07,0.000788892,healthy
0.01194606,0.011124644,0.068793029,3.51E-07,1.06E-06,0.000765665,healthy
0.011640815,0.011428267,0.068383529,4.29E-07,1.34E-06,0.00074738,healthy
0.011481883,0.011212365,0.065442599,2.99E-07,1.22E-06,0.000672777,healthy
0.011586967,0.011131669,0.064222019,2.25E-07,1.35E-06,0.000671875,healthy
0.011476616,0.011202017,0.063691117,2.71E-07,9.29E-07,0.000662661,healthy
0.011328821,0.011241591,0.065640081,1.06E-06,1.05E-06,0.000660682,healthy
0.01171333,0.011513824,0.067233652,4.18E-07,7.24E-07,0.000713264,healthy
0.011871704,0.011509812,0.068680485,2.48E-07,7.89E-07,0.000755748,healthy
0.011648819,0.01119561,0.069267207,3.90E-07,6.68E-07,0.000781492,healthy
0.011687936,0.01107655,0.066496575,2.61E-07,1.01E-06,0.000725688,healthy
0.011305424,0.011202593,0.06676652,3.79E-07,1.42E-06,0.000703671,healthy
0.011164354,0.011281399,0.067024447,3.36E-07,8.17E-07,0.000724181,healthy
0.011330423,0.010976326,0.067023268,3.09E-07,1.05E-06,0.000716436,healthy
0.011587917,0.011195678,0.06550681,4.45E-07,2.21E-06,0.00067326,healthy
0.01160749,0.011464349,0.066547567,3.28E-07,1.27E-06,0.000709558,healthy
0.011847884,0.011231188,0.069479001,2.95E-07,1.23E-06,0.000790779,healthy
0.011802948,0.011416187,0.071497106,3.79E-07,6.61E-07,0.000810304,healthy
0.011829657,0.011376069,0.072526172,5.84E-07,1.12E-06,0.000828268,healthy
0.011812964,0.01119637,0.071699558,2.72E-07,7.76E-07,0.000813056,healthy
0.01185157,0.011322904,0.0719294,2.60E-07,1.05E-06,0.000838222,healthy
0.011881878,0.011423443,0.072059655,2.64E-07,8.45E-07,0.000841718,healthy
0.0118151,0.011485732,0.071043494,2.44E-07,9.41E-07,0.000806526,healthy
0.011753346,0.011372228,0.070894964,7.79E-07,1.77E-06,0.000791005,healthy
0.011776712,0.011276958,0.071589603,3.46E-07,1.01E-06,0.000841699,healthy
0.012171481,0.011381489,0.07284131,2.70E-07,1.42E-06,0.000890681,healthy
0.012347858,0.011422146,0.074374933,6.01E-07,8.51E-07,0.000915088,healthy
0.012552765,0.011348383,0.075979654,2.59E-07,3.95E-06,0.000987744,healthy
0.012509057,0.011251177,0.076198377,3.50E-07,2.27E-06,0.000976434,healthy
0.012449233,0.011519584,0.077230381,2.83E-07,2.64E-06,0.000971731,healthy
0.012370564,0.011353464,0.077026635,6.87E-07,3.47E-06,0.000982936,healthy
0.012320621,0.011210034,0.075312994,4.38E-07,2.45E-06,0.000953229,healthy
0.012507194,0.011257656,0.074930678,2.94E-07,2.17E-06,0.000937935,healthy
0.01221396,0.01125927,0.074805105,9.01E-07,2.14E-06,0.000929438,healthy
0.012346612,0.011388827,0.075584117,3.25E-07,3.08E-06,0.00097022,healthy
0.012423162,0.011426118,0.075733777,2.77E-07,2.25E-06,0.000979088,healthy
0.012106962,0.011173472,0.07486507,2.70E-07,1.99E-06,0.000926601,healthy
0.012096844,0.011135597,0.074293773,5.99E-07,1.25E-06,0.000938193,healthy
0.011864896,0.0112513,0.074586057,4.71E-07,1.21E-06,0.000939417,healthy
0.012086316,0.011246721,0.075633661,4.43E-07,2.43E-06,0.000936608,healthy
0.012532741,0.01146372,0.078551338,4.18E-07,2.43E-06,0.001050454,healthy
0.012551114,0.011487179,0.079371539,3.39E-07,2.82E-06,0.001064981,healthy
0.01241404,0.011435852,0.080360964,5.63E-07,5.14E-06,0.001068867,healthy
0.01248232,0.011436752,0.08070759,2.55E-07,2.50E-06,0.001116499,healthy
0.012590045,0.011677732,0.082711906,4.44E-07,1.94E-06,0.001183264,healthy
0.012524107,0.011585199,0.084304829,3.61E-06,6.28E-06,0.001200689,healthy
0.012667844,0.011519457,0.083805268,5.68E-07,2.54E-06,0.001228361,healthy
0.012735773,0.011681288,0.083035849,6.31E-07,3.08E-06,0.001182291,healthy
0.012788642,0.011983308,0.083530312,5.77E-07,3.28E-06,0.001200549,healthy
0.012450751,0.011800564,0.082559023,3.72E-07,3.15E-06,0.001152198,healthy
0.012202736,0.011351942,0.078433444,3.07E-07,3.00E-06,0.001056097,healthy
0.012225444,0.011293849,0.077147818,3.94E-07,3.19E-06,0.000988696,healthy
0.01232388,0.011224658,0.077190632,1.59E-06,7.20E-06,0.000987485,healthy
0.01217649,0.011213429,0.076045777,2.79E-07,2.91E-06,0.000960135,healthy
0.012053066,0.011197042,0.076133307,4.09E-07,2.92E-06,0.000948677,healthy
